,year,growth_rate,density,cities,freguesias,vilas,region_code,region_name
0,,% ,N.º/ km² ,N.º ,N.º ,N.º ,,
1,2024,"0,86","890,7",x,173,x,11A, Área Metropolitana do Porto
2,2024,"-0,43","63,3",x,16,x,11A0104, Arouca
3,2024,"1,05","1554,4",x,4,x,11A0107, Espinho
4,2024,"0,48",1284,x,7,x,11A1304, Gondomar
5,2024,"1,44",1744,x,10,x,11A1306, Maia
6,2024,"0,83","2900,4",x,4,x,11A1308, Matosinhos
7,2024,"0,29","418,8",x,12,x,11A0113, Oliveira de Azeméis
8,2024,"0,63","552,2",x,18,x,11A1310, Paredes
9,2024,"1,56","6100,6",x,7,x,11A1312, Porto
10,2024,"1,37","832,7",x,7,x,11A1313, Póvoa de Varzim
11,2024,"0,52","651,1",x,21,x,11A0109, Santa Maria da Feira
12,2024,"-0,17","495,8",x,14,x,11A1314, Santo Tirso
13,2024,"1,6","3053,8",x,1,x,11A0116, São João da Madeira
14,2024,"0,74","559,6",x,5,x,11A1318, Trofa
15,2024,"-0,06","144,2",x,7,x,11A0119, Vale de Cambra
16,2024,"1,29","1350,7",x,4,x,11A1315, Valongo
17,2024,"1,17","576,2",x,21,x,11A1316, Vila do Conde
18,2024,"0,56","1857,9",x,15,x,11A1317, Vila Nova de Gaia
19,2023,"1,27","883,1",27,173,69,11A, Área Metropolitana do Porto
20,2023,"-0,12","63,6",0,16,1,11A0104, Arouca
21,2023,"1,58","1538,1",1,4,2,11A0107, Espinho
22,2023,"0,79","1277,9",3,7,2,11A1304, Gondomar
23,2023,"1,6",1719,1,10,3,11A1306, Maia
24,2023,"1,35","2876,6",3,4,5,11A1308, Matosinhos
25,2023,"0,61","417,6",1,12,8,11A0113, Oliveira de Azeméis
26,2023,"0,74","548,7",4,18,6,11A1310, Paredes
27,2023,"2,34",6006,1,7,0,11A1312, Porto
28,2023,"1,89","821,4",1,7,3,11A1313, Póvoa de Varzim
29,2023,"0,92","647,8",3,21,13,11A0109, Santa Maria da Feira
30,2023,"0,18","496,7",1,14,6,11A1314, Santo Tirso
31,2023,"2,18","3005,4",1,1,0,11A0116, São João da Madeira
32,2023,"1,05","555,5",1,5,1,11A1318, Trofa
33,2023,"0,03","144,2",1,7,2,11A0119, Vale de Cambra
34,2023,"1,77","1333,4",3,4,2,11A1315, Valongo
35,2023,"1,59","569,5",1,21,0,11A1316, Vila do Conde
36,2023,"0,87","1847,5",1,15,15,11A1317, Vila Nova de Gaia
37,2022,"1,37",872,x,x,x,11A, Área Metropolitana do Porto
38,2022,"-0,47","63,6",x,x,x,11A0104, Arouca
39,2022,"1,4",1514,x,x,x,11A0107, Espinho
40,2022,"0,95","1267,8",x,x,x,11A1304, Gondomar
41,2022,"1,97","1691,8",x,x,x,11A1306, Maia
42,2022,"1,42","2837,9",x,x,x,11A1308, Matosinhos
43,2022,"0,38","415,1",x,x,x,11A0113, Oliveira de Azeméis
44,2022,"0,48","544,7",x,x,x,11A1310, Paredes
45,2022,"2,93","5867,1",x,x,x,11A1312, Porto
46,2022,"1,75",806,x,x,x,11A1313, Póvoa de Varzim
47,2022,"0,86","641,8",x,x,x,11A0109, Santa Maria da Feira
48,2022,"0,06","495,8",x,x,x,11A1314, Santo Tirso
49,2022,"2,42","2940,6",x,x,x,11A0116, São João da Madeira
50,2022,"1,47","549,7",x,x,x,11A1318, Trofa
51,2022,"-0,21","144,2",x,x,x,11A0119, Vale de Cambra
52,2022,"1,81",1310,x,x,x,11A1315, Valongo
53,2022,"1,75","560,5",x,x,x,11A1316, Vila do Conde
54,2022,"0,86","1831,5",x,x,x,11A1317, Vila Nova de Gaia
55,2021,"0,72","860,2",x,x,x,11A, Área Metropolitana do Porto
56,2021,"-0,95","63,9",x,x,x,11A0104, Arouca
57,2021,"0,85","1492,9",x,x,x,11A0107, Espinho
58,2021,"0,45","1255,9",x,x,x,11A1304, Gondomar
59,2021,"1,58","1658,8",x,x,x,11A1306, Maia
60,2021,"0,81","2797,9",x,x,x,11A1308, Matosinhos
61,2021,"0,24","413,5",x,x,x,11A0113, Oliveira de Azeméis
62,2021,"0,31","542,1",x,x,x,11A1310, Paredes
63,2021,"1,34","5697,8",x,x,x,11A1312, Porto
64,2021,"0,91",792,x,x,x,11A1313, Póvoa de Varzim
65,2021,"0,1","636,3",x,x,x,11A0109, Santa Maria da Feira
66,2021,"-0,48","495,5",x,x,x,11A1314, Santo Tirso
67,2021,"2,39","2870,2",x,x,x,11A0116, São João da Madeira
68,2021,"0,88","541,7",x,x,x,11A1318, Trofa
69,2021,"-0,26","144,5",x,x,x,11A0119, Vale de Cambra
70,2021,"1,7","1286,6",x,x,x,11A1315, Valongo
71,2021,"1,03","550,8",x,x,x,11A1316, Vila do Conde
72,2021,"0,31","1815,9",x,x,x,11A1317, Vila Nova de Gaia
